# Shadow tomography log started 2020-01-13 21:44:39
# Dimension = 8
# True state = ( 0.14721585 -0.00534268 -0.35672598 -0.06598247  0.68291300 -0.18321269  0.05912638  0.14621629  0.12210690 -0.01363021 -0.06913602 -0.12444022  0.33730013 -0.28221549 -0.30506144 -0.00625829)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7
  1288834  114935 -0.44607968  0.23684430  0.22875257 -0.14411983  0.12763484  0.47705830  0.28368805 -0.28636620  0.15187624 -0.00620439  0.04064927  0.21906878 -0.10155556  0.42052135 -0.05199665  0.05344036
  1300851  12017   0.23462047  0.01819041  0.07143152  0.09348035  0.35289584  0.34625519  0.04222013  0.22022941  0.37347458  0.15276536 -0.18752945 -0.12108330 -0.03616220 -0.09333299  0.49199272 -0.41393850
  1313381  12530   0.09134346  0.52973024  0.03355486  0.23234479 -0.17352634 -0.24867500  0.11550689 -0.36810325  0.08462786  0.42539172 -0.29835555  0.15179258 -0.10382258 -0.22691532 -0.13648072 -0.18456988
  1351586  38205   0.08078523  0.46966135  0.45614163 -0.17336331 -0.29927226 -0.14879983 -0.20474991  0.15494664  0.41354740 -0.20595331 -0.09307830 -0.01113836 -0.01624836  0.24548780  0.06915378  0.26381681
  1422956  71370  -0.02038621  0.23051155  0.07776404 -0.03515266 -0.19677298 -0.33621581  0.20998761  0.05814020 -0.58547241  0.02998764  0.03495664 -0.59816927 -0.12897477  0.08888640  0.10670980 -0.03608605
  1432060  9104   -0.50800708  0.24334852 -0.01519621 -0.30783426  0.03199577  0.24810453 -0.15228257 -0.01136371 -0.31390179  0.22802948  0.01503586  0.33546894 -0.12826553 -0.00500839  0.43398144  0.18358775
  1525381  93321  -0.23213364 -0.04469189 -0.12242747  0.16869438 -0.63280812  0.00135385 -0.05239992 -0.14710173  0.07821674 -0.25909788  0.08940936  0.16427764 -0.26465935  0.00812315  0.10339760 -0.53554209
  1547708  22327   0.18160702  0.02943439  0.06236152 -0.05921801 -0.40803931 -0.08163895  0.26097376 -0.15500243 -0.05703288  0.31132088  0.58449519  0.27102547  0.12949922 -0.17069562 -0.20488317  0.30052570
  1602252  54544  -0.04956019 -0.23291246  0.66965945 -0.01032774  0.16268428  0.03427896  0.16691822 -0.19171779 -0.00132166  0.09816553  0.17006479  0.01836285  0.31329262  0.18616743  0.29363255 -0.38020838
  1641916  39664  -0.14721590 -0.20803248 -0.02853234 -0.36104406  0.08736873  0.03534203  0.53118823  0.14433004  0.22480672  0.05573911  0.03901512  0.01444141 -0.48567999  0.41397485 -0.17113404  0.00926746
  1642412  496     0.20558188 -0.38522959 -0.07768869 -0.15168809 -0.03432316 -0.25028755 -0.61569709  0.00804330 -0.18202493  0.15004526  0.18462234  0.06536410 -0.10687803  0.48057050 -0.02493641  0.01796227
  1748638  106226 -0.39140388  0.43121963 -0.09772456 -0.10954500  0.29918858  0.36607184 -0.40310365 -0.28457303 -0.15273222  0.18278005 -0.03351237 -0.09469030  0.28856737 -0.04827776  0.13724221 -0.03230114
  1800329  51691  -0.12154768 -0.25730149  0.15829364 -0.27636325  0.25287619  0.10779414 -0.30317128  0.42804021  0.02704465 -0.24888019  0.26218120  0.13734536  0.21181884  0.33652515 -0.34229062 -0.20331411
  1802917  2588    0.01233718 -0.04438030  0.08048247 -0.55202859  0.25630735 -0.02781135 -0.00508034  0.00822433  0.18761221 -0.39010535 -0.01041858 -0.11713590 -0.26301207 -0.11923842  0.52333909  0.24822968
  1876622  73705   0.23850798  0.07093570 -0.21088348 -0.36844421 -0.24175841  0.56511831  0.18303029  0.30780860 -0.02878168  0.39327237  0.18863855 -0.07158730 -0.19930538 -0.02904762  0.03033589 -0.11882585
  1886004  9382    0.11919577 -0.51069749  0.20023546  0.14066600  0.28670071  0.05495370  0.03018584 -0.00667444 -0.37889950  0.18140557  0.19829654 -0.03882142  0.17135666 -0.44370397  0.29193877 -0.22396504
  1949746  63742  -0.27869814  0.25347118  0.19968369  0.43474581  0.10435903 -0.00052835  0.18083092  0.32731215  0.03317614  0.06877490  0.39803980 -0.01311509 -0.18729964  0.31778012  0.42184463  0.00463422
  1962702  12956   0.05086893  0.15522720  0.04666559  0.23934914  0.00706065  0.25760293 -0.09899628 -0.03363660 -0.25393910 -0.49410555  0.15774473 -0.42071673 -0.40039998 -0.23970891 -0.31902794 -0.08024786
  1977997  15295   0.26719117  0.02865098 -0.12672099 -0.14593749  0.08280040 -0.29540747 -0.16544264 -0.41708867 -0.09839792  0.19263573  0.66797345 -0.01607854 -0.12719901  0.18989581 -0.11269965  0.19182646
  2048693  70696  -0.52918819 -0.01995251 -0.49506907  0.26275340  0.33327689 -0.14433901 -0.00775999  0.01648752  0.06706280  0.37580045  0.10328705  0.25735342  0.00215265  0.08252212  0.17634853  0.11248999
  2100604  51911   0.29960533  0.22452366  0.07437128  0.21660100 -0.05715162  0.02807535 -0.21692322  0.12024570 -0.43573241  0.19877639  0.04977278  0.03040612 -0.36308595  0.50422407  0.15814587  0.31296862
  2121120  20516  -0.12962257 -0.14413020 -0.21051390  0.15268835 -0.31240824  0.10442735 -0.20412166  0.71826949 -0.14326849 -0.11103364  0.28126244 -0.22276901  0.15179221 -0.16534864 -0.12288707  0.04053094
  2123050  1930   -0.22896141  0.30438104 -0.14780928 -0.57819302  0.09226346 -0.29496648  0.00746497  0.19302472  0.04938396 -0.05341451 -0.08128476 -0.47531318 -0.13265904  0.28454537  0.13392539 -0.10779542
  2133639  10589   0.10454297 -0.02236441 -0.20893478  0.09896766 -0.14723250  0.26300364 -0.26523657 -0.28540909  0.05974518  0.48384816  0.03542675 -0.45386039 -0.25266721 -0.21119664  0.01315771 -0.37272570
  2237669  104030 -0.07779114 -0.36783676  0.20267196  0.08208797 -0.29858513 -0.67196988  0.01926573  0.04326565 -0.09607631  0.26413875 -0.32947539 -0.05982132 -0.17944786 -0.18282873 -0.03832803  0.09829110
  2262205  24536   0.17801830 -0.23381905 -0.13207580 -0.00208975  0.01984196 -0.14240057  0.37610339  0.15184557  0.02776329 -0.06580427  0.34712559  0.22916361 -0.44513928  0.20882930 -0.18978867 -0.50508985
  2299818  37613   0.12788793 -0.37581768 -0.24410187  0.17702769 -0.08729983  0.01336683  0.07431207 -0.13848202  0.29816975 -0.41960807  0.01920726 -0.25627472 -0.18966882  0.07975635  0.52809937  0.25833248
  2346104  46286  -0.09157344  0.14100322  0.18136935 -0.36348037 -0.07643587  0.09960416  0.05479500  0.10516956 -0.62054690 -0.11887685  0.16036332  0.03065643  0.09246556  0.25246499 -0.51998849 -0.09137926
  2350314  4210    0.04481298  0.37658217 -0.03337542 -0.10900240 -0.10679965 -0.26185487  0.54269291 -0.39219810 -0.09294885 -0.08142050  0.14256451  0.12379705  0.18825473 -0.36359265  0.18386559 -0.25001600
  2364101  13787   0.10931589  0.08733819  0.50081136 -0.29253444  0.17757759  0.02088809 -0.24266326 -0.07041615 -0.12167202 -0.27584761  0.05366103 -0.09800657 -0.06215800 -0.35965298  0.26909711  0.48909277
  2492771  128670 -0.38403248  0.15779840 -0.39778448  0.13539984  0.47001563  0.19873943 -0.33087050 -0.17021725 -0.27147879 -0.19280350 -0.19548629  0.06670851  0.14466534 -0.24331379  0.01967270 -0.13467125
  2534421  41650   0.02984941  0.27452451 -0.15829240 -0.40817820  0.22462907  0.09377254 -0.18003476  0.16945826  0.54442534 -0.05081890  0.47439948  0.18405121 -0.01327915 -0.04794073 -0.18375394 -0.13246840
  2583062  48641  -0.41836479  0.08559197 -0.15023735 -0.18291539 -0.37325982 -0.60112752 -0.32079861 -0.17441403  0.12932635 -0.08616609 -0.11209192  0.01271758  0.06952505  0.11900061 -0.09906051  0.24884195
  2615552  32490   0.49746200 -0.30090955 -0.15707592 -0.07399857  0.03884167 -0.14050346 -0.10011481 -0.02259731 -0.06873406 -0.20455402 -0.17423010  0.64876532  0.29627278  0.01938300 -0.06234795  0.10096064
  2629233  13681   0.11478382  0.16171197  0.04161287  0.17164560  0.16839722 -0.04841534 -0.18650733 -0.30907866 -0.11652946  0.02176925  0.39931911 -0.01339291  0.19312813  0.63230316  0.39669284  0.01745535
  2684403  55170  -0.03891574  0.43921855  0.16835240  0.40891820  0.02813969 -0.10865907  0.08008176 -0.14259265 -0.09807596 -0.38946681 -0.07211274 -0.40612959 -0.43483050 -0.07606318 -0.21052917 -0.00641389
  2704835  20432  -0.16451040 -0.12118512  0.41396983 -0.19205157  0.09697137  0.37481608  0.25643035 -0.00461923 -0.40823563 -0.33833367  0.42079299  0.10532470  0.05159556 -0.14991254  0.06639109  0.18840802
  2740799  35964   0.28975856 -0.05426908  0.16958249 -0.12962235 -0.34014270  0.27748382 -0.00796479 -0.05251555  0.18733393 -0.03732039 -0.12708044 -0.60744934  0.34585838 -0.31182433  0.15912139 -0.09064231
  2745419  4620   -0.14805189  0.23541448 -0.32671148  0.04536161 -0.06980999  0.10904974  0.35332350  0.61117341 -0.30899164 -0.06817096 -0.27335548 -0.14309499  0.19930428  0.18124472  0.16062693  0.07093328
  2752036  6617    0.42897038 -0.17017256 -0.21759747  0.35813934  0.14302046  0.49956806 -0.10295269  0.16309090 -0.01209624  0.18334030  0.31231700 -0.11730046 -0.33763935  0.17072647  0.11912166  0.04234567
  2782337  30301  -0.23520324 -0.42125201  0.02175148  0.17989142 -0.36218429 -0.09340754  0.13473408  0.05340486 -0.23162767  0.42211134 -0.03701526 -0.17357787 -0.15686632 -0.20584759 -0.38996259  0.30183520
  2864258  81921   0.16806361  0.04303203 -0.31429151 -0.16593963  0.26062149  0.12985219  0.15972501 -0.22461062  0.18624573 -0.15891455 -0.00827773 -0.11391461  0.26070162  0.14826540 -0.51191466  0.50778898
  2963973  99715   0.34957133 -0.03915712  0.11351865 -0.30689122  0.06719305 -0.35892290  0.39359976  0.34234283  0.30873557 -0.01060561  0.07329867  0.01168223 -0.37754657 -0.21899581  0.14053981  0.22923056
  2992939  28966  -0.02740840 -0.50478982  0.08011747  0.03921192 -0.06502057  0.02664353 -0.18786804 -0.05816523 -0.02243515  0.01481620  0.54548953  0.31169617 -0.46348690  0.22846722  0.15728648  0.07531188
  3000713  7774    0.22073407 -0.07489542 -0.52414238  0.09961063 -0.13748960 -0.22696777 -0.22168343 -0.42374344 -0.15942430  0.14184612 -0.01882582 -0.47212742 -0.19183054  0.10252269 -0.19314230  0.09214595
  3057213  56500   0.15420732 -0.07752824 -0.01583498  0.04581828  0.20330689 -0.25418977 -0.14637268  0.17328185 -0.00073549 -0.44883250 -0.12886404 -0.29472969 -0.19784133 -0.18564408  0.63391994 -0.17343480
  3110787  53574  -0.35078309  0.39875272  0.15570809 -0.09053786  0.22778953 -0.31868082 -0.14549871  0.14457580 -0.25209231  0.18940840 -0.15223737  0.04271242 -0.46930223  0.03755742 -0.03892633  0.37734700
  3157690  46903   0.29516693 -0.41185261  0.20664107 -0.05615846  0.29858101 -0.49481903  0.05424911  0.27378626 -0.16032360  0.15861838  0.07132156 -0.07951045  0.37081671  0.04455006 -0.19170288  0.21677032
  3241420  83730  -0.23212208 -0.03365877 -0.11945172  0.02061186  0.40746603 -0.18374716 -0.17592745 -0.44341588  0.02970858  0.37359780 -0.09203992  0.29835511  0.26839573  0.03086705  0.31939086 -0.29998096
  3253027  11607  -0.01185858  0.23278128  0.23590223  0.23854199 -0.32509469 -0.09162223 -0.13720294 -0.25523017 -0.56893674 -0.22717240  0.24515053  0.08620986  0.35582698 -0.07370583  0.18696276  0.15888403
  3298480  45453  -0.07898004 -0.07703809 -0.50332758 -0.49615045 -0.05299176  0.12072957 -0.40137492  0.29758673 -0.22629924 -0.18717496 -0.07569989  0.26720528  0.21417841  0.00401701 -0.00147456  0.10960964
  3350797  52317   0.21881048  0.39284560  0.36470039  0.46159254 -0.10976490  0.12688159  0.38567231  0.04711305  0.11979708 -0.11612647 -0.26266415 -0.23265754 -0.03593898 -0.23681677  0.15546457  0.20027109
  3375178  24381   0.05210455  0.23671703  0.30440398 -0.09628876 -0.18901984 -0.12884626 -0.03933351  0.07002143  0.05857153 -0.46633104  0.58347503  0.35819679  0.05808186  0.02634507 -0.17504278  0.23703591
  3448091  72913  -0.12698322  0.06817294 -0.08697648  0.14138775 -0.20036871  0.57748709 -0.44382028 -0.29860508  0.03857203 -0.44118340 -0.12957149 -0.12151494  0.12662438  0.00444442 -0.10989232 -0.18993910
  3509000  60909   0.64757087  0.07633641 -0.45335471 -0.04941717  0.21210909 -0.03620728 -0.07805429 -0.13932768  0.29650747 -0.07230398 -0.09952336  0.04804005  0.25278499  0.07763480 -0.10553902  0.32958015
  3567696  58696   0.31829659 -0.12527250  0.16809475  0.03156550 -0.43828003  0.24767888 -0.00889797  0.36767691 -0.05254129  0.33330142 -0.02499252  0.22042645  0.47936847  0.14370314 -0.02262377 -0.22588212
  3607702  40006   0.19220539 -0.21303375 -0.19212436  0.16286779 -0.32974551  0.14927244  0.13442320  0.06023056 -0.17342016  0.03659758 -0.04342265  0.09476443 -0.60496708  0.03112674 -0.52090586  0.14473298
  3608354  652    -0.24827223 -0.13869445  0.14196805 -0.37706530 -0.27467151 -0.17072243 -0.07209251  0.04397101 -0.06602705 -0.09372546 -0.50329331 -0.06572579  0.24152593 -0.15532694 -0.19850094  0.50243237
  3636950  28596  -0.00258458 -0.11350228 -0.05854564 -0.24086099  0.03506285  0.09650968  0.09397531  0.59834442  0.36943966 -0.40877725 -0.16443518 -0.14007617 -0.22767661  0.31761787  0.17819809 -0.11645140
  3657214  20264   0.38486997 -0.03526842 -0.34331833  0.37590270 -0.40045606  0.03504889  0.04590072 -0.36179013 -0.34832047  0.25185995  0.23649346 -0.09315255  0.00205290  0.05428786 -0.00392110 -0.21103216
  3667103  9889    0.05967636 -0.38314989 -0.43453122  0.18475976 -0.28677017  0.09354473  0.05265467  0.58650070  0.18135218 -0.14655191 -0.23362832  0.05572910  0.15120520 -0.14189055  0.18244912 -0.02450275
  3672151  5048   -0.25855625  0.22592131  0.06172384  0.01267837 -0.05685370 -0.06347626  0.00597749  0.15108559 -0.44729939  0.50330481 -0.52934518 -0.14033369 -0.01909373 -0.13876310  0.27337032  0.01923679
  3774253  102102 -0.03023910  0.00630881 -0.02439165 -0.05737388 -0.25230041 -0.14529516 -0.07773951  0.16570254 -0.02977984  0.06514104  0.11547936 -0.01424967 -0.58557965 -0.51685113 -0.46914628  0.16759046
  3814263  40010  -0.01285472  0.14546298  0.30815271  0.02180114 -0.53966359  0.13748108 -0.16707629 -0.27916084  0.08991427 -0.24066069 -0.02581868  0.21638589  0.14673314 -0.28932394  0.36548525  0.33904096
  3863792  49529  -0.14412766  0.19995563 -0.31129338 -0.14603156  0.13666973  0.35557223  0.22669819  0.02407706  0.14055305  0.33572792  0.38597154 -0.16387103  0.32645857 -0.27800105 -0.00051465  0.36301238
  3919322  55530  -0.44880632 -0.31904256 -0.43364677 -0.30692521 -0.05356473  0.10733889 -0.10009948 -0.52839485  0.10722513 -0.00366089 -0.25334804  0.07222464 -0.13799184 -0.00731133 -0.01808921 -0.10288633
  3988886  69564  -0.44236985 -0.02083380  0.11868893  0.00412441 -0.28570929 -0.32267994 -0.02404353  0.12753800  0.26040083  0.15671923  0.45223784 -0.25890002 -0.07721460  0.10118426  0.31680942 -0.32663172
  3989700  814    -0.03385451 -0.42501942  0.18423356  0.01088205 -0.27478151  0.14167698 -0.23221222  0.29367480  0.01440970  0.38869437 -0.13486189  0.15565090  0.39335260 -0.04586574  0.05959422  0.44081742
  4019154  29454  -0.25958665  0.07563634 -0.18632196 -0.14885040  0.08461742 -0.35328228 -0.31888062 -0.04852287  0.18113658 -0.34362120 -0.17614778  0.11202355 -0.13925417  0.30839019  0.30049065  0.48452001
  4020499  1345    0.13650164  0.35870247  0.17271634  0.20934313 -0.09447728  0.52164107 -0.45528105  0.20661030  0.10789080 -0.32167053  0.01217787  0.04469591 -0.21959992 -0.16317905 -0.18523825  0.14702800
  4034995  14496   0.19238268  0.35543708  0.39803657  0.00765601 -0.05372470 -0.13453426  0.17328441 -0.05087575  0.09981083  0.13233925 -0.71351170 -0.10614856 -0.00331910 -0.13603619  0.24052919 -0.01861529
  4049826  14831   0.40832079 -0.16145937 -0.42900566  0.41540380 -0.13133661  0.22721051  0.35681630 -0.07921804  0.35502195 -0.03644965 -0.06634611 -0.06505166 -0.08215398  0.15507916  0.18334488  0.21843692
  4111506  61680   0.07288835  0.09103686  0.51351887  0.00338875 -0.25731548 -0.26309807  0.20246405  0.14881581  0.46164807 -0.09813641  0.39532967 -0.02364013  0.06014188  0.34890183 -0.13791441  0.01235947
  4242892  131386 -0.00565755  0.04918261 -0.20411902  0.11350755  0.31690319 -0.16580684  0.11366807  0.29684815  0.21480240 -0.30739113 -0.24904722  0.18352699  0.52787602 -0.12821819 -0.42284744 -0.06174725
  4318799  75907   0.32224484  0.34895760  0.02255160 -0.03928940  0.37124102  0.01969522 -0.18087507 -0.37778638  0.10121965  0.23289734  0.34946747  0.09046075  0.41938255 -0.09045643  0.21052059  0.18843624
  4355938  37139   0.06140377  0.36180308  0.35997225  0.53824048  0.04412106  0.32372031  0.43358424  0.33306190  0.12548094 -0.02165777 -0.09717844  0.00219747 -0.05150815 -0.02961532  0.10574248 -0.00190061
  4414404  58466   0.05809930  0.23088817  0.01457274 -0.36048018 -0.21277959  0.52548606 -0.12447512 -0.01984433 -0.20071749 -0.14049351  0.20810655 -0.36610438  0.07930769 -0.27431388  0.38273275 -0.10231979
  4445264  30860  -0.25968521 -0.03328760  0.19762199 -0.15283026 -0.22341029  0.06460391 -0.01988613 -0.15301864  0.28331247  0.14925837 -0.27116135 -0.06975202 -0.62923288 -0.39813537 -0.13914630  0.19079486
  4466188  20924   0.09528070  0.21772713 -0.50199648 -0.04070180 -0.21165985 -0.20113592  0.63413235 -0.28603799 -0.10330887  0.15102413 -0.04731408 -0.08464972 -0.07507976  0.01277908  0.20260499  0.17586359
  4525647  59459   0.30278950  0.19495921  0.16151285 -0.04656333 -0.13018436 -0.29689409 -0.20008012  0.22268231 -0.16508402  0.52264642  0.24852516  0.28061845 -0.29294179 -0.03203384  0.29720631 -0.17676315
  4576540  50893   0.24986528  0.03268965  0.13966684  0.21054900  0.10130580 -0.24383158 -0.18407411 -0.01757733 -0.12029588 -0.06374817  0.15603413 -0.68500197 -0.23763142  0.22344306 -0.04871933  0.38454353
  4645199  68659  -0.50898479 -0.11511534  0.16430054  0.11794009 -0.14882528 -0.05644637  0.16985093 -0.10026911 -0.47515114 -0.06105115  0.09932117 -0.13366836 -0.26220389  0.27745958 -0.02896182 -0.46769517
  4672662  27463   0.16767613 -0.43587964  0.00467849  0.03836048 -0.10973076  0.46938214  0.10888692  0.05351267 -0.43726266  0.21930135  0.10157218  0.23082049 -0.08598234  0.09122363 -0.17968835  0.42711884
  4717989  45327   0.41587429  0.42178604  0.09390277 -0.21698090 -0.21076760  0.17468845  0.32534859  0.15542898 -0.42938193  0.05127052 -0.28382714 -0.08713705  0.06343716  0.07873349 -0.31960143 -0.02795065
  4732987  14998   0.10921138  0.57762226 -0.10975141 -0.10363676  0.14242414 -0.15477987 -0.33177435 -0.48005464  0.12726111  0.16456171  0.10383601  0.09130663  0.03051038  0.42599306  0.04334341 -0.01403364
  4797958  64971   0.16563840 -0.15747264  0.21367641  0.41599815 -0.09851249  0.12945927 -0.04512339 -0.17888948 -0.04667677 -0.31921064 -0.26793370 -0.25537123 -0.22944496  0.44331217  0.13871954  0.39882499
  4807443  9485   -0.13637721  0.20000719  0.06904262 -0.07307206 -0.42808338 -0.00241905 -0.03382871  0.05071800  0.54768936  0.06025591 -0.55151565  0.25745279  0.03381359 -0.17414801  0.06871209  0.18459668
  4822050  14607  -0.02359490 -0.22775176 -0.05212959 -0.39734694 -0.35031053 -0.43243807  0.31445360 -0.31793318  0.00833895 -0.38532801  0.15738165 -0.00297248  0.26050020  0.14987379 -0.04928331  0.10588306
  4843175  21125  -0.18276337  0.12952716  0.21189634  0.54381064  0.01863985  0.04778417  0.13001629 -0.12856711 -0.01035244 -0.03667844  0.17299903  0.29086326  0.48602971 -0.04642083 -0.44312845  0.14966801
  4884376  41201   0.02520050 -0.23266515  0.25806636 -0.01509772 -0.38058366 -0.18770598 -0.36474949 -0.01133779 -0.22508625  0.18070176  0.10954288  0.38391302 -0.43388658  0.08555445 -0.34422532 -0.09156143
  5001030  116654  0.13857341  0.12711070  0.00122509  0.35275670 -0.37272067 -0.19936099  0.34109829  0.09377690 -0.09331394  0.34645902  0.27340939  0.10875026 -0.01325016  0.04774158  0.56137915 -0.05892209
  5048217  47187  -0.12053725  0.12843656 -0.10654893 -0.18378344  0.31291776 -0.07235721  0.33965279  0.56033192 -0.19219557  0.39281774 -0.14900565  0.10701838  0.34679020 -0.04725941 -0.20773254 -0.02840048
