# Shadow tomography log started 2020-01-30 12:18:30
# Dimension = 32
# True state = (-0.04253849  0.06026821 -0.11189757  0.12480997  0.11420122  0.08507518  0.03483992 -0.06958561 -0.02387117  0.31656915 -0.01901664  0.24493499  0.14841320 -0.01453716 -0.04509974 -0.11346489 -0.11893803  0.06505946  0.08099915 -0.11042199 -0.00411617 -0.36350052 -0.28820120 -0.10332123  0.22114837  0.12355172 -0.04220527 -0.01048672 -0.00556871 -0.08898689 -0.04336205 -0.19881504 -0.05524026 -0.12070405  0.07842430 -0.00858368 -0.08455496  0.12185433 -0.19725007  0.05794396 -0.04262981  0.11087326  0.02171164 -0.06994538  0.14488513 -0.07044524  0.01835244 -0.06047994 -0.13057125  0.02144598  0.15899372  0.07499059  0.08441177 -0.09387125  0.15260157  0.01654506  0.15789416  0.06631318  0.03489070  0.10071068  0.01880188 -0.03118708 -0.14003723 -0.27628668)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15        re16        im16        re17        im17        re18        im18        re19        im19        re20        im20        re21        im21        re22        im22        re23        im23        re24        im24        re25        im25        re26        im26        re27        im27        re28        im28        re29        im29        re30        im30        re31        im31
  28120    7931    0.09611574  0.11630669 -0.02570897  0.06210281  0.12080866  0.10892525  0.05401190  0.06602710 -0.18531545  0.10519783  0.04322946 -0.01209301  0.24522449  0.04271130 -0.05808490  0.16724802  0.28636339  0.06983204 -0.13637408  0.11025666  0.01995321  0.08547729  0.19052585  0.16141036  0.00439710  0.05464350  0.00984757 -0.00238916  0.09207361 -0.21259242  0.09812355 -0.06358168  0.13083931 -0.13219854 -0.15413501 -0.06018092  0.07223156  0.01018117  0.19104631  0.01639237  0.02814127  0.04262421 -0.02707146  0.24098330  0.09168375  0.02837749 -0.02105341  0.05723276 -0.05136677  0.09391752 -0.17041022  0.23973433  0.11138102 -0.05627420  0.00528751 -0.11016133  0.09487654 -0.17785387  0.14394517  0.05885566  0.04243808  0.25465674  0.04312983 -0.32041118
  29281    1161    0.07128300  0.09782009  0.19186463 -0.14396549  0.00173670  0.07451187  0.04153641 -0.16269943 -0.00260143 -0.13625949  0.01357043 -0.05086047 -0.08062912  0.05779790 -0.09084699  0.21301908 -0.04334161 -0.04924370 -0.00863948  0.01247571 -0.05058095  0.08283384  0.08749894 -0.05147942 -0.00269448 -0.07367136 -0.00224448  0.13964079  0.13418676 -0.01144644 -0.15943514  0.10246019 -0.11536162 -0.19242554  0.12731318 -0.18938960 -0.18493251 -0.23270068 -0.04010137  0.03023873 -0.16305202  0.00260163  0.03989441  0.15486730  0.07661250  0.08854994  0.17654850 -0.19848518 -0.05375077  0.00606559  0.19172415  0.07429192 -0.14060551 -0.02281565 -0.01396446 -0.10442336  0.28058865 -0.03644673 -0.27241138 -0.23655625  0.12685191  0.20363932  0.13237414  0.11982962
  29737    456     0.27061224 -0.19385761  0.06386042  0.14573899 -0.21278750 -0.05381575  0.02135111 -0.12531778 -0.01334295 -0.16143757  0.22153025  0.09622834 -0.01887839 -0.08568445 -0.02443562 -0.13512490  0.04783233  0.11531297  0.18111735  0.02305645  0.03824099  0.18684867  0.15277330  0.02313643 -0.07517640  0.11649792 -0.05076251 -0.00968898  0.07714169  0.09614364 -0.04836862 -0.30794433 -0.06314637  0.08576575 -0.22281526  0.00419240  0.04007206 -0.28626043 -0.13175939  0.01448668  0.12244696  0.15720352 -0.09007181  0.00454104  0.15863566  0.00160012  0.04436283 -0.16713649 -0.06213247  0.05312733 -0.17185830  0.02248725  0.04464782  0.06622745  0.09520444 -0.06758516  0.12972489  0.06912009 -0.06718455  0.16697086  0.14806377 -0.20114227 -0.08170061  0.01219469
  36056    6319    0.11697339  0.11003302  0.07100928 -0.20331630  0.00016226  0.13904405  0.17145058  0.03002460  0.14763149  0.18525304  0.02174542 -0.03756388 -0.10998918  0.14997022  0.16943819 -0.19233722 -0.10946140 -0.23692719 -0.05274555 -0.05985598  0.09454517  0.03537350 -0.35336434  0.10794856 -0.12161095 -0.14658709  0.00534240  0.05432588  0.11313522 -0.01652572 -0.04351909 -0.15789979 -0.01771026  0.13019871 -0.25587387 -0.07325204 -0.05257636 -0.05029491 -0.07779755 -0.05514348  0.01008357 -0.22585185  0.09542486  0.21681598 -0.00925883 -0.03978180  0.12860477 -0.00490487 -0.10657463 -0.15015961 -0.13037813  0.14243160 -0.13111239  0.06823872 -0.16325056 -0.10332764 -0.01726565  0.11050122  0.10645288  0.05482227 -0.00747229 -0.05913673  0.08456659 -0.15395147
  46643    10587   0.09979769  0.17170425 -0.20724561 -0.08782239 -0.10964228  0.25607431 -0.04016380  0.11428267  0.14292653  0.13232296  0.05844545 -0.04946746 -0.03057551  0.00232804  0.11610628 -0.08744292  0.12496750  0.01925779  0.10040679  0.08664051 -0.21951968 -0.23734549  0.08285325  0.00342501 -0.19583091  0.18513657  0.02732367  0.12812889 -0.05778353  0.08790923  0.09076355 -0.17503843 -0.00953348 -0.08439758  0.21034739 -0.11113117 -0.08101480 -0.09326154 -0.09295239  0.28685994 -0.11404059 -0.14846131 -0.00952597 -0.09255586  0.13897385  0.12314190 -0.07404767 -0.11154501  0.06394823  0.01560144  0.06427799  0.13410934  0.16792441 -0.03651823 -0.05676616 -0.09788092 -0.17409578 -0.18369646  0.11382437  0.08048595  0.04972960 -0.05327073  0.05679508  0.20034011
  50942    4299    0.16548532  0.01950094 -0.03619974 -0.17361925  0.01834615  0.06415857  0.11880144 -0.14505257 -0.06576982  0.07988944  0.17663734  0.18613585  0.29260263 -0.18485001  0.11646212  0.19901057 -0.00045627 -0.05441411 -0.13511813 -0.15168071 -0.05135510  0.00715759  0.06591999  0.05317067  0.05686031 -0.01039209  0.07836512  0.02278170  0.02311333 -0.01263760 -0.20585494 -0.08347578  0.11788140  0.09868486  0.08984928 -0.12721170 -0.27447366  0.31761401 -0.23838771 -0.21406418 -0.02158566  0.04863551 -0.23803642 -0.04035634 -0.05295503  0.08786120  0.13202201  0.01281532 -0.00062076 -0.11270191 -0.06114963 -0.02391873  0.08774901 -0.13531090  0.01411543  0.16392733  0.03224524  0.00506463  0.11348437  0.01311239 -0.00466188 -0.10383528 -0.07103959  0.14656580
  53141    2199   -0.09750998  0.02794404 -0.09491238 -0.22780581  0.24285654 -0.29485649  0.06376016  0.09408866 -0.15122777 -0.00891948 -0.00823317  0.25537542 -0.33245478 -0.05566429 -0.10131046  0.13441197 -0.04538677 -0.06025351 -0.02266891 -0.12573818  0.02691663  0.06011492 -0.14968635  0.27927478  0.02801810  0.20915971  0.02048095  0.12881237  0.07780192 -0.01761046 -0.06945689 -0.01359705 -0.08649966  0.00187045 -0.10585826 -0.03039629  0.08795936 -0.06279260 -0.05058260  0.07129046  0.03818640  0.04073928  0.02245667  0.06524153  0.10516591  0.10544437 -0.11765592  0.00344351  0.12511581  0.24032199 -0.14450080 -0.07538493  0.05228862 -0.10535943 -0.05666706 -0.09012103 -0.06168336 -0.09910460  0.16477743 -0.16639838  0.11445908 -0.04203648 -0.08730203  0.20289452
  55145    2004   -0.00381454  0.05206548 -0.17878024 -0.07101847  0.10007719 -0.02031955  0.05330321  0.05132598 -0.03676982  0.04578850 -0.14835007 -0.16129302 -0.00756276  0.03427876  0.11223112  0.04566929  0.09909705 -0.05313757 -0.04204961  0.13407157 -0.02167379  0.14848217  0.03683245 -0.05585036 -0.07777992 -0.19285003  0.01650068  0.00594093 -0.02313609  0.01844532 -0.04102330 -0.01095076  0.03447836 -0.02034915  0.14616879  0.18272439 -0.12350943 -0.15997758 -0.09105901  0.04551889 -0.16672596  0.23216980 -0.06335915  0.33932349  0.11259326 -0.31338476  0.12511149  0.07227675 -0.00059249  0.22841926 -0.12475956 -0.13486064  0.14728555  0.24373722  0.02706073  0.16841962 -0.07929676  0.22667965  0.06655992  0.12730977 -0.02905412  0.03712408 -0.03138473  0.23139272
  55643    498     0.15171302  0.20293674 -0.05124715 -0.12358723  0.17931769 -0.03515689  0.06648409 -0.07839175 -0.20963510  0.12671783 -0.04239867  0.06965454  0.17982882  0.03706273  0.01835669 -0.14160491 -0.23292129 -0.10143185 -0.02231353 -0.11684360  0.19696596  0.24473869  0.07219737 -0.26402665  0.01674555 -0.05286392 -0.12682171 -0.03464405 -0.23995681  0.18238726  0.00199681 -0.00448294 -0.01429281  0.05148098  0.02997879  0.21595882  0.03673410 -0.02561652  0.02989832  0.28062808  0.10815751 -0.02032758 -0.15393093 -0.11496116  0.15002100  0.24375166 -0.05829585  0.07777842 -0.03884157  0.02942064  0.09171826  0.04021562  0.16525279  0.06326059 -0.05581897 -0.16655313  0.09482815  0.05868751 -0.04166106 -0.10075095 -0.07621105  0.02541591  0.09619797 -0.05118552
  59508    3865   -0.00749491 -0.08090762  0.10774977  0.07271744  0.19540727  0.03892847 -0.02353391  0.13051524 -0.01393310  0.16445169 -0.00992462  0.36843966 -0.28746257  0.09909700  0.14765072 -0.03923550  0.00832528  0.16745375  0.07114447  0.25261134 -0.08226315 -0.04395614  0.09409689 -0.02644313  0.13212536 -0.19355309 -0.08507017 -0.18097517 -0.11775170 -0.08695195 -0.27578247 -0.01198981  0.08056990  0.18300391  0.18353079 -0.08296997 -0.00134801 -0.01262675 -0.07104248 -0.00901621 -0.28222350  0.02353033  0.00384209  0.00874329  0.03246588 -0.01057656 -0.10484997 -0.06806601  0.03560640 -0.04634827 -0.01957737  0.02586868  0.10182930 -0.06748592 -0.09588589 -0.15561176  0.17478880  0.01697292 -0.05313603  0.07678661 -0.08514933 -0.07455299 -0.07426711 -0.19735853
  59819    311     0.11492615 -0.12222750  0.05857081 -0.05629109 -0.08939539  0.05905432 -0.05168583  0.15844440 -0.02547316  0.12310034 -0.06670400 -0.06159540  0.04845290  0.18101206 -0.07306951 -0.01307591 -0.04609165 -0.10302777 -0.08787815 -0.14227639 -0.06630501  0.11579808 -0.11320319  0.00814303 -0.05524093 -0.07173240 -0.15854624  0.08760662 -0.08104611 -0.30933369 -0.07360245 -0.11211074 -0.00186981 -0.24306814 -0.00772467  0.07069595  0.30681861  0.07034169  0.06280724 -0.00877483 -0.02882001 -0.02225653 -0.06515552 -0.04727298  0.15271472 -0.10411983 -0.10793928 -0.28936734  0.23621107 -0.30497618 -0.05026976 -0.11473756  0.22121477 -0.06204066  0.02680885  0.22733482  0.13919980 -0.00188593 -0.09131026 -0.04160165  0.06668289  0.00025033 -0.07630919  0.12117159
  61048    1229    0.00375729 -0.15334516 -0.08605444 -0.01389479  0.10436778  0.16128460 -0.19861584  0.10207403  0.16632371 -0.01276976  0.02998670  0.16159593  0.17996725  0.06695292  0.01129315  0.10750595  0.03161640 -0.27591828 -0.04496609  0.05656930  0.15554659 -0.05009741  0.03858714  0.05176319  0.16201560 -0.17484450 -0.17331144 -0.10184761  0.14897325  0.09558017 -0.03628732  0.19695088  0.12679163  0.10686219 -0.17147650 -0.23213536  0.08793431 -0.26704946  0.05159745  0.05992969  0.02698840 -0.21436858  0.01861896 -0.10585652 -0.02856701  0.11858839 -0.00950485  0.04688885  0.06424170  0.21392901  0.06474193  0.05028566  0.15439929  0.02724575  0.15583589  0.22817651 -0.02826585  0.09461016 -0.03611170  0.07203055  0.17083047 -0.05161249  0.07555974  0.11824425
  64043    2995    0.06418397  0.18448382  0.11988518  0.07004261 -0.02716266 -0.00004745 -0.23620487 -0.14300164  0.15864281 -0.12458995 -0.09918603  0.16228031  0.10568251  0.13645370 -0.02728165 -0.01834720  0.03416132  0.12083105 -0.16895395 -0.07650843 -0.01840543 -0.17734182 -0.10694436 -0.12132360  0.10875445  0.00955772 -0.18230855  0.00721489 -0.21146531 -0.11911836 -0.06197359  0.03836202  0.04800123  0.22201345 -0.10592468  0.13874157 -0.05446970  0.04934805  0.03289227  0.12738088 -0.05088805  0.10250251 -0.00341302  0.03030943  0.17573728 -0.13162555  0.09153571 -0.08890090  0.00160249 -0.01890639 -0.06283581 -0.01860355 -0.24800243 -0.10372345  0.14607308 -0.14892021 -0.05944264  0.01248303  0.31373328  0.00936807  0.30422451  0.12834189  0.04097013  0.15390028
  65026    983     0.09720780 -0.07640975  0.11127433  0.16411146  0.06299595 -0.08314910  0.13818440  0.03022720  0.20520309 -0.13039577 -0.03466156 -0.04803019  0.12179618  0.03323239  0.13178439 -0.03916005  0.00252652 -0.05613129 -0.17651758  0.21016280  0.06954405  0.05770199 -0.02778025  0.06314427  0.16919162  0.09327485  0.05161720  0.23362008 -0.09434404 -0.15048559  0.10062456  0.04127851 -0.08280578  0.04402356  0.06149989 -0.23678044 -0.08497425  0.11238116  0.01662115  0.07059269  0.15814845 -0.18394411 -0.03957195 -0.02086511  0.12591296  0.00987060 -0.10839632  0.06168521  0.14111214  0.06059257 -0.00801637 -0.05765887 -0.05370011  0.28007608 -0.01476251 -0.21257250  0.22721851  0.02407285  0.01560929  0.07950724 -0.24036007  0.04921532 -0.28110441  0.22337572
  68720    3694   -0.00282401  0.00304396  0.12422440 -0.02813625 -0.01001506  0.02169977  0.35219845  0.00268168  0.08127103  0.05425852 -0.17133286 -0.11155970  0.02526890  0.00363212  0.05704627  0.12191105  0.09452915  0.20970475 -0.03619957  0.09974342  0.05606655  0.08793822 -0.22948725  0.02748887  0.15638567  0.04423537 -0.09958276 -0.03438790 -0.00523991  0.29728393 -0.11285345 -0.16442144  0.26311322 -0.09127299 -0.19381814  0.09887029 -0.07379347  0.12742894 -0.09270581  0.21534293 -0.13040779  0.00890049  0.04912835 -0.07076763 -0.09149912 -0.01421833 -0.07003405 -0.00584723  0.25762864  0.07237932  0.00186516  0.06361050 -0.07788862  0.00644462  0.25158524  0.04436892 -0.07954792 -0.16933288 -0.25704526 -0.00743839  0.07717400 -0.01081376 -0.02066219 -0.02512349
  68736    16      0.09232721  0.15928828  0.02943164 -0.10724509 -0.04692978 -0.09678963  0.07600466  0.01335527 -0.04669305  0.01105132  0.23473191 -0.12973424 -0.09899672  0.08144750 -0.03165837 -0.36222195 -0.04996916 -0.07008411 -0.20055475  0.14307334 -0.08832904  0.00831190 -0.16290192 -0.07630054  0.17397427  0.09266191  0.14480593 -0.18683656  0.07599456 -0.00049112 -0.11134370  0.07887071 -0.08619451 -0.04695241  0.12635699  0.06796812  0.02377928 -0.05374188  0.13638465 -0.30968302 -0.07135739  0.08368910 -0.10222563 -0.02035310 -0.06860690  0.10118883 -0.10621621 -0.00128250  0.08293921  0.13160437  0.14693871  0.10871888  0.06267952  0.11313463  0.27997906  0.06371799  0.13017817 -0.18783105  0.16451351  0.15087060  0.15323299 -0.00815368  0.07065647  0.03370374
  72446    3710   -0.23965918  0.17431400  0.12197834  0.08274804 -0.33273027 -0.00680502 -0.16993542 -0.05430933 -0.13153286  0.10464604  0.03243250  0.12240828  0.20126168  0.03037267 -0.03754826 -0.11883937 -0.25441058 -0.24106284 -0.04906279  0.20114992  0.02013469  0.04545970  0.03798101 -0.03932092  0.12922068  0.09252285  0.04057513  0.10301355  0.19208843  0.10709779 -0.06535619 -0.06100648  0.03462114 -0.17305116 -0.02595810 -0.11564273 -0.06096316  0.07799620 -0.08366218  0.16361967 -0.21064276  0.03431369  0.11307207  0.12974879  0.03702824 -0.06625042 -0.22216332  0.02403232 -0.13167756  0.03080101 -0.07871289 -0.19466875  0.04316760 -0.03740202  0.01802205 -0.00985507 -0.06898074  0.04746052  0.04118413 -0.09226198  0.06848681 -0.06032141 -0.22837126 -0.13485777
  76096    3650   -0.07054177  0.02704680 -0.22528332  0.01288913  0.11935730 -0.08678614 -0.01659162 -0.08601378  0.02151336  0.12238597  0.09455360 -0.15751701 -0.09855820 -0.01045322 -0.12205931  0.05059243 -0.10308153 -0.04045045  0.12520446  0.03488877 -0.12391849 -0.14620262  0.15655565 -0.00178026 -0.08791203 -0.04282139 -0.34739858 -0.02666986  0.02944688  0.04845111 -0.15500940 -0.13277961 -0.13770753  0.02865822 -0.07356569 -0.07630550 -0.13686641  0.19303512  0.09938204 -0.03792494  0.07219813 -0.15809170 -0.23846621 -0.02204920 -0.19552518 -0.16188792 -0.24636593  0.05031002 -0.04405149 -0.06617055 -0.17193135  0.05527889 -0.03033005  0.26586541  0.06735206 -0.09538348  0.06846190  0.06252729 -0.08974835 -0.07305755  0.27399197  0.18265637 -0.05013692  0.02351230
  77421    1325    0.07434025  0.10869316  0.20124212 -0.16480811  0.28730593 -0.16926625 -0.13542548 -0.05287250 -0.01216924 -0.15301129 -0.04205127 -0.24132764  0.15601442  0.04518875  0.09106965 -0.20808889 -0.03391111  0.01362681 -0.06082317 -0.11182046 -0.05932845 -0.25305297  0.10070878  0.02906405  0.15075359  0.00950209  0.01925531  0.10845820  0.12738220 -0.00784086  0.00879257 -0.06978577 -0.01667375  0.01537172  0.11950796 -0.09549204  0.16308797 -0.09741563 -0.34046806  0.02301410  0.08669710  0.04292949 -0.03789853 -0.07498075 -0.04913246 -0.26049351 -0.07141600  0.07139808  0.12784991  0.09320607 -0.12333996  0.10836125  0.08876027 -0.22091709 -0.06518705 -0.03091279 -0.04665386  0.07628231 -0.20681065  0.06354223  0.01976579  0.00437385  0.04325081 -0.15671015
  84333    6912    0.04849280 -0.18551940 -0.23140949 -0.05461118 -0.11808850 -0.04317061  0.01772328 -0.04155047  0.06688329 -0.03067211 -0.09780793 -0.00357268 -0.12552340 -0.00528165  0.07924422  0.00282678  0.00447520 -0.14820626 -0.06320144 -0.05148642 -0.11829759 -0.06810580 -0.08767962 -0.12210581  0.36306504 -0.07634913 -0.24472493  0.15749051 -0.00240310 -0.07243419  0.06971505 -0.14004256 -0.00405212 -0.18892351  0.00810490  0.00442627 -0.07120157 -0.03496818 -0.01341743  0.00093914 -0.06885171  0.17875611  0.13431219 -0.29933494  0.02925925 -0.01236642  0.17203565  0.17367569 -0.29582784  0.07448749 -0.23370544  0.01737095  0.06382467  0.03111963 -0.03055804  0.00170620  0.17180751 -0.24791322  0.05924947 -0.04627634 -0.10794527 -0.00700404  0.11733114 -0.08018078
